id,title,date_issued,year,subjects,genre,item_url,doi_url,thumbnail_url,image_url,pdf_url,rights
rutgers-lib:73834,"C.I.S.P.E.S. Benefit for El Salvador, The Eve Subculture September Violence, Scott Hall College Ave New Brunswick, Sat July 11th",1980-07-01-1989-07-01,1980,New Brunswick (N.J.); The Eve Subculture; September Violence,Band flyer,https://rucore.libraries.rutgers.edu/rutgers-lib/73834/,https://doi.org/doi:10.7282/t3-9cm2-2403,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:73834/THUMBJPEG/1,,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:73834/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:72342,Aquarian Weekly Regional Edition September 9th 1981 Mick Jagger? The Rolling Stones,1981-09-09,1981,"New Jersey; Philadelphia (PA); Long Island (N.Y.); Conneticut; New York (State); Jagger, Michael; The Rolling Stones",Newspaper,https://rucore.libraries.rutgers.edu/rutgers-lib/72342/,https://doi.org/doi:10.7282/t3-3dm5-3y65,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72342/THUMBJPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72342/JPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72342/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:72344,Good Times June 15th-28th 1982 Gilda+Gene Live,1982-06-15,1982,"New York (N.Y); New Jersey; Wilder, Gene; Radner, Gilda",Newspaper,https://rucore.libraries.rutgers.edu/rutgers-lib/72344/,https://doi.org/doi:10.7282/t3-62xq-vt21,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72344/THUMBJPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72344/JPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72344/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:72360,"Court Tavern 124 Church Street, The Pseudo-Realists, Thurs Aug 16th 1984",1984-08-16,1984,New Brunswick (N.J.); The Pseudo-Realists; Court Tavern,Band flyer,https://rucore.libraries.rutgers.edu/rutgers-lib/72360/,https://doi.org/doi:10.7282/t3-gk8z-8k63,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72360/THUMBJPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72360/JPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72360/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:72365,Aquarian Arts Weekly The Replacements,1985-12-25,1985,East Coast (North America); The Replacements,Newspaper,https://rucore.libraries.rutgers.edu/rutgers-lib/72365/,https://doi.org/doi:10.7282/t3-4akb-th34,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72365/THUMBJPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72365/JPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:72365/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:70248,"Batteries Not Included, Stating the Obvious : The Roxy",1985-10-18,1985,New Brunswick (N.J.); Batteries Not Included (Musical group); Stating the Obvious (Musical group); The Roxy,Band flyers,https://rucore.libraries.rutgers.edu/rutgers-lib/70248/,https://doi.org/doi:10.7282/t3-vkvy-9211,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70248/THUMBJPEG/1,,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70248/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item.Please refer to the organization that has made the Item available for more information.You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:73856,"C.I.S.P.E.S. Benefit, Scott Hall, College Ave, Dag-Nasty, ex minor threat descendent members, P.E.D., Hollow Body, Sat March 7th 8pm",1985-03-07-1985-03-07,1985,New Brunswick (N.J.); Dag-Nasty; P.E.D.; Hollow Body,Band flyer,https://rucore.libraries.rutgers.edu/rutgers-lib/73856/,https://doi.org/doi:10.7282/t3-zd8y-7382,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:73856/THUMBJPEG/1,,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:73856/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:74248,"Scott Hall Room 123 College Ave, Flag of Democracy, September Violence, Black Vomit, Oct 31st, 7:30pm",1985,1985,"New Brunswick, N.J.; Flag of Democracy (Musical group); September Violence (Musical group); Black Vomit (Musical group)",Band flyer,https://rucore.libraries.rutgers.edu/rutgers-lib/74248/,https://doi.org/doi:10.7282/t3-19h2-rd36,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:74248/THUMBJPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:74248/JPEG/1,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:74248/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:70246,The Masterbeats : The Roxy,1985-10-11,1985,New Brunswick (N.J.); The Masterbeats (Musical group),Band flyers,https://rucore.libraries.rutgers.edu/rutgers-lib/70246/,https://doi.org/doi:10.7282/t3-ayd6-8811,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70246/THUMBJPEG/1,,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:70246/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item.Please refer to the organization that has made the Item available for more information.You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
rutgers-lib:73774,"C.I.S.P.E.S. Benefit Sand in Liquid Motion, Sand in the Face, Stets, Jersey Fresh, Scott Hall College Ave New Brunswick Fri Jan 30th",1987-01-30,1987,New Brunswick (N.J.); Sand in the Face; Stets; Jersey Fresh,Band flyer,https://rucore.libraries.rutgers.edu/rutgers-lib/73774/,https://doi.org/doi:10.7282/t3-8w7w-x363,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:73774/THUMBJPEG/1,,https://rucore.libraries.rutgers.edu/api/get/rutgers-lib:73774/PDF/1,"The copyright and related rights status of this Item has been reviewed by the organization that has made the Item available, but the organization was unable to make a conclusive determination as to the copyright status of the Item. Please refer to the organization that has made the Item available for more information. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use."
